marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	50423057	R135Q3VZ4DQN5N	B00JWXFDMG	657335467	Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings	Jewelry	5	0	0	N	Y	Beauties!	so beautiful even tho clearly not high end ... But super great for price and as costume jewelry, though others will have to look twice since they appear very near real ... Very nice	2015-08-31
US	11262325	R2N0QQ6R4T7YRY	B00W5T1H9W	26030170	925 Sterling Silver Finish 6ct Simulated Diamond Stud Set	Jewelry	5	0	0	N	N	Great product.	Great product.. I got this set for my mother, as she is allergic to bijoux (probably to the nickel in some products, I don't know for sure, I just know that her ears get swallowed, red and itchy unless is silver or gold).<br />And I'm glad that this is sterling silver and still at a affordable price. She never got an allergic reaction, and now she wears them every day.	2015-08-31
US	27541121	R3N5JE5Y4T6W5M	B00M2L6KFY	697845240	Sterling Silver Circle "Friends Forever" Infinity Symbol Pendant Necklace, 18"	Jewelry	5	0	0	N	Y	Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box ...	Exactly as pictured and my daughter's friend loved it!  It came packaged in a nice box and I thought it looked more expensive than it was.  Very happy with this purchase.	2015-08-31
US	5350721	R2I150CX5IVY9Q	B0006SW2WU	569859289	Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14	Jewelry	5	0	0	N	Y	Five Stars	Love it. Fits great. Super comfortable and neat idea with the fish bones that can also come out!!!	2015-08-31
US	24484424	R1RM9ICOOA9MQ3	B009YPDW70	332947422	Sterling Silver Family Pendant Necklace, 18"	Jewelry	5	0	0	N	Y	... a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design	Got this as a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design.	2015-08-31
US	457767	R2J2KMDL10UMSH	B00QGA8XZM	424804582	CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring	Jewelry	5	0	0	N	Y	Five Stars	I Love It Make Me Won't To Get Another	2015-08-31
US	31009358	R3R9ZUFA4TB4FQ	B00L0N0E8E	589441783	Metal Factory 925 Sterting Silver Plumeria Cubic Zirconia CZ with Maile Leaf Hawaiian Flower Band Ring	Jewelry	5	0	0	N	Y	Five Stars	True to size, unique	2015-08-31
US	7034628	R3UQ8VAQN7R6WL	B00DMWQKWA	517428445	niceEshop(TM)Classic Vintage Champagne Cross Pendant With Chain	Jewelry	5	0	0	N	Y	Five Stars	This necklace is BEAUTIFUL......is a great accent to my wardrobe.	2015-08-31
US	34608636	R1FXZ69C01JNQM	B00THLHAGA	320313750	Genuine Natural Baltic Amber Adjustable Stretch Ring for Women	Jewelry	5	0	0	N	Y	Five Stars	just perfect	2015-08-31
US	44972687	RY36LB4OW0FFS	B00UXSEOHY	589365488	MBOX Expandable Antique Gold Tone,Antique Sliver Tone & Antique Bronze Letters Wire Bangle Bracelet	Jewelry	5	0	0	N	Y	Five Stars	Love it !	2015-08-31
US	16684508	R6PKS54PC6ZY2	B00XGRYGVS	217045013	Set of 3 Nose Rings: 22g Sterling Silver CZ Nose Studs - Clear, Pink & Light Purple	Jewelry	1	4	4	N	Y	I had high hopes for these, but it was an Epic Fail.	They didn't even last through the first day.  One of them, the stone was already out when I got it.  The other two - they both fell out that day!  I'm sad, because I really was looking forward to these.	2015-08-31
US	23493178	R1LYSAH0IECVWB	B00AJ2VU8A	972853757	3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm), 16.5", 17"/18"	Jewelry	5	0	0	N	Y	This is a real nice necklace for the price	This is a real nice necklace for the price.  Don't look for each strand to be larger diameter than the next, that is not what is advertised. All in all a really nice necklace	2015-08-31
US	108294	R1UN0IZI3XQ3E2	B00LE5Y100	979375701	KONOV Mens Stainless Steel Ring, Gothic Skull Hand Claw Poker Playing Card, Black	Jewelry	5	2	3	N	Y	AMAZING	This is a very comfortable ring I would definitely buy it now  GREAT RING KONOV	2015-08-31
US	25810742	RIKDXD8QGL99S	B013E0AOH6	619592796	TEMEGO Jewelry Mens 2pcs Rhodium Plated Vintage Superman Symbol Wedding Cufflinks Shirt Cufflinks, Black Silver	Jewelry	5	1	1	N	Y	Five Stars	Great quality for the price!	2015-08-31
US	12037665	RUZCQTXZVGUFH	B00XAWUP96	783863439	Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports	Jewelry	4	1	1	N	Y	A Little Smaller Than Expected	I like the bracelet a lot, it's really cute and almost exactly what I expected. I do wish it were just a little longer as it is a little snug even though I have fairly small wrists.	2015-08-31
US	51793466	R35CD4IHO3RP9H	B00WD82F1O	655270378	10-11mm Baroque Freshwater Cultured Pearl Endless Necklace 32" 60" 64" In Dyed and Natural Colors	Jewelry	5	1	1	N	Y	Pretty and Versatile	This is pretty and versatile. I have it to wear with dresses that are low cut. It allows me to be a bit more modest. I especially appreciate the continuous string. A wandering clasp can ruin a look.	2015-08-31
US	127508	R13YD66XC9221U	B00JP4XCSO	592155747	Sankuwen® Fashional 7pcs Stack Plain Rings Cute Eye Bowknot Crown Rhinestone Joint Rings	Jewelry	1	0	0	N	N	Don't get this like the first time I opened this it got broken ...	Don't get this like the first time I opened this it got broken and it don't fit on my fingers	2015-08-31
US	38430946	RHWG4JRVDSEYY	B00PZSM384	622179716	zjskin6688 store New fashion Hip-Hop African Map Pendant Wood Bead Rosary Necklaces	Jewelry	3	1	1	N	Y	Three Stars	Not what I expected. Took too long to ship. But price was right.  Necklace not  adjustable, hangs too low	2015-08-31
US	33684654	R3SPIKMJ5IWHX8	B00VLMW18K	36759824	Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings ¡­	Jewelry	4	0	0	N	Y	Four Stars	Bought these for my daughter, cute but bigger than what I imagined they would be.	2015-08-31
US	5068631	RS19ACU7KWWNE	B00U5LDBB4	575109200	Horizontal Sideway Lateral Cross Pendant Necklace Stainless Steel with 20 inches Chain	Jewelry	5	1	1	N	Y	Five Stars	Pretty, and very comfortable to wear!	2015-08-31
